,TeamName,Year,Wins,Losses,OTLosses,Win%,GoalsFor(GF),GoalsAgainst(GA),+/-
517,TorontoMapleLeafs,1990,23,46,,0.287,241,318,-77
518,VancouverCanucks,1990,28,43,,0.35,243,315,-72
519,WashingtonCapitals,1990,37,36,,0.463,258,258,0
520,WinnipegJets,1990,26,43,,0.325,260,288,-28
521,BostonBruins,1991,36,32,,0.45,270,275,-5
522,BuffaloSabres,1991,31,37,,0.388,289,299,-10
523,CalgaryFlames,1991,31,37,,0.388,296,305,-9
524,ChicagoBlackhawks,1991,36,29,,0.45,257,236,21
525,BostonBruins,1990,44,24,,0.55,299,264,35
526,BuffaloSabres,1990,31,30,,0.388,292,278,14
527,CalgaryFlames,1990,46,26,,0.575,344,263,81
528,ChicagoBlackhawks,1990,49,23,,0.613,284,211,73
529,DetroitRedWings,1990,34,38,,0.425,273,298,-25
530,EdmontonOilers,1990,37,37,,0.463,272,272,0
531,HartfordWhalers,1990,31,38,,0.388,238,276,-38
532,LosAngelesKings,1990,46,24,,0.575,340,254,86
533,MinnesotaNorthStars,1990,27,39,,0.338,256,266,-10
534,MontrealCanadiens,1990,39,30,,0.487,273,249,24
535,NewJerseyDevils,1990,32,33,,0.4,272,264,8
536,NewYorkIslanders,1990,25,45,,0.312,223,290,-67
537,NewYorkRangers,1990,36,31,,0.45,297,265,32
538,PhiladelphiaFlyers,1990,33,37,,0.412,252,267,-15
539,PittsburghPenguins,1990,41,33,,0.512,342,305,37
540,QuebecNordiques,1990,16,50,,0.2,236,354,-118
541,St.LouisBlues,1990,47,22,,0.588,310,250,60
542,TorontoMapleLeafs,1990,23,46,,0.287,241,318,-77
543,VancouverCanucks,1990,28,43,,0.35,243,315,-72
544,WashingtonCapitals,1990,37,36,,0.463,258,258,0
545,WinnipegJets,1990,26,43,,0.325,260,288,-28
546,BostonBruins,1991,36,32,,0.45,270,275,-5
547,BuffaloSabres,1991,31,37,,0.388,289,299,-10
548,CalgaryFlames,1991,31,37,,0.388,296,305,-9
549,ChicagoBlackhawks,1991,36,29,,0.45,257,236,21
550,BostonBruins,1990,44,24,,0.55,299,264,35
551,BuffaloSabres,1990,31,30,,0.388,292,278,14
552,CalgaryFlames,1990,46,26,,0.575,344,263,81
553,ChicagoBlackhawks,1990,49,23,,0.613,284,211,73
554,DetroitRedWings,1990,34,38,,0.425,273,298,-25
